uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
mi/qmatrix/sel_Qwen_Qwen3-8B-Base_attrib_steer_qmatrix.json,export,34298,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_Qwen_Qwen3-8B-Base_attrib_steer_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_Qwen_Qwen3-8B-Base_dla_steer_qmatrix.json,export,32235,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_Qwen_Qwen3-8B-Base_dla_steer_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_Qwen_Qwen3-8B-Base_sweep_steer_qmatrix.json,export,50582,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_Qwen_Qwen3-8B-Base_sweep_steer_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_attrib_ablate_qmatrix.json,export,65416,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_attrib_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_attrib_steer_qmatrix.json,export,49121,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_attrib_steer_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_dla_ablate_qmatrix.json,export,62006,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_dla_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_dla_steer_qmatrix.json,export,51585,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_dla_steer_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_random0_ablate_qmatrix.json,export,67862,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_random0_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_random1_ablate_qmatrix.json,export,67782,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_random1_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_random2_ablate_qmatrix.json,export,67468,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_random2_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_random3_ablate_qmatrix.json,export,67811,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_random3_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
mi/qmatrix/sel_google_gemma-2-9b_sweep_ablate_qmatrix.json,export,67470,,,keep_forever,exam_restricted,local-fs,mi-sae-qmatrix,4-sae/5-patching/6-steering,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART Inference & Logprobs\sel_google_gemma-2-9b_sweep_ablate_qmatrix.json,29-key JSON; M_logp_correct/M_misc_share/M_other 20x20; positions=content
